num_train,method,split,nlpd,variogram_score
150,exact_gp,1,1.3430598035414396,0.6822504177421513
150,exact_gp,10,1.085603692950435,0.6615244070875556
150,exact_gp,2,1.121635434785322,0.6920509491958812
150,exact_gp,3,1.1343204393189577,0.7235932983296057
150,exact_gp,4,1.2378103514585732,0.8843869136053158
150,exact_gp,5,1.2422666758769376,0.7869894430315598
150,exact_gp,6,1.1358219412264094,0.6409629581602927
150,exact_gp,7,1.237587915403014,0.8794411416523056
150,exact_gp,8,1.200453453341219,0.7963876363739318
150,exact_gp,9,1.1186495788047817,0.7111306076618625
150,pro_gp_gibbs,1,1.209380248227942,0.7447818430073179
150,pro_gp_gibbs,10,0.8777522410237311,0.5990992610590683
150,pro_gp_gibbs,2,1.0991899469939972,0.6967471988461724
150,pro_gp_gibbs,3,1.1091056338867897,0.735977916246054
150,pro_gp_gibbs,4,1.113857786872011,0.8628501445111614
150,pro_gp_gibbs,5,1.1598912552800233,0.8185592676841263
150,pro_gp_gibbs,6,1.0205993266598201,0.626825565658994
150,pro_gp_gibbs,7,1.1881784392935681,0.8848176731050632
150,pro_gp_gibbs,8,1.1981530996704668,0.8476994315518495
150,pro_gp_gibbs,9,0.9937242124620758,0.6833506593321912
150,pro_gp_gibbs_50,1,1.2039716584612756,0.746007016987764
150,pro_gp_gibbs_50,10,0.8345110331805407,0.5970961152151475
150,pro_gp_gibbs_50,2,1.1092829368480166,0.697800568335912
150,pro_gp_gibbs_50,3,1.0730169107071266,0.7241199016282374
150,pro_gp_gibbs_50,4,1.120496413063786,0.8563171895845754
150,pro_gp_gibbs_50,5,1.1542241001732807,0.8126041750942363
150,pro_gp_gibbs_50,6,0.9832808309195478,0.6415466646057906
150,pro_gp_gibbs_50,7,1.1796731198462,0.8761570298992202
150,pro_gp_gibbs_50,8,1.1613072246014107,0.828561723284069
150,pro_gp_gibbs_50,9,0.9398864892863075,0.6706941341212495
150,pro_gp_gibbs_adapt,1,1.0464523321591173,0.6437055800345971
150,pro_gp_gibbs_adapt,10,0.8659130256095591,0.6161112559692801
150,pro_gp_gibbs_adapt,2,1.0976495460397502,0.6897051934746573
150,pro_gp_gibbs_adapt,3,1.1008494123131107,0.734840117784163
150,pro_gp_gibbs_adapt,4,1.1040181542157255,0.870662074849487
150,pro_gp_gibbs_adapt,5,1.1267581191812477,0.7717826856877196
150,pro_gp_gibbs_adapt,6,0.9898406672362567,0.6559740173857046
150,pro_gp_gibbs_adapt,7,1.1874203955531315,0.8723041361601543
150,pro_gp_gibbs_adapt,8,1.146845897675998,0.8118750516733496
150,pro_gp_gibbs_adapt,9,0.9473311544313034,0.6795049436343827
175,exact_gp,1,1.0736874056653685,0.638318526692898
175,exact_gp,10,1.0554822141494613,0.6297100975120875
175,exact_gp,2,1.1825427317299133,0.7348541509457404
175,exact_gp,3,1.0708845677444818,0.6302088585493494
175,exact_gp,4,1.1851053183669955,0.8012406927419331
175,exact_gp,5,1.1701583021069246,0.7446446895232003
175,exact_gp,6,1.1126261896093472,0.6626460500985174
175,exact_gp,7,1.1239513693041434,0.723566037990297
175,exact_gp,8,1.2092523538270485,0.8274078135219958
175,exact_gp,9,1.118788861035287,0.7305144978262682
175,pro_gp_gibbs_50,1,0.9025591397954575,0.6213684455979548
175,pro_gp_gibbs_50,10,0.8776552639886291,0.5712856632599127
175,pro_gp_gibbs_50,2,1.081384908903798,0.7091985975588517
175,pro_gp_gibbs_50,3,0.9126824749043825,0.6155167724258406
175,pro_gp_gibbs_50,4,0.9368397975478724,0.7340802802439674
175,pro_gp_gibbs_50,5,1.0517117226265578,0.7546451518872606
175,pro_gp_gibbs_50,6,0.9624703197574616,0.6515860647366393
175,pro_gp_gibbs_50,7,1.03371998492383,0.7235270783961094
175,pro_gp_gibbs_50,8,1.1350551359110044,0.8318788350108247
175,pro_gp_gibbs_50,9,0.9510178729843661,0.6835573303100816
200,exact_gp,1,1.0383097077672758,0.6159381676814103
200,exact_gp,10,1.1005804232096654,0.6203877174584909
200,exact_gp,2,1.1408092870553956,0.7478442065828542
200,exact_gp,3,1.1043788017473655,0.6471776654367452
